"slug","title","description","url","tags","category","author","source"
"4everland-hosting-mcp","4EVERLAND Hosting MCP Server","A Model Context Protocol (MCP) server implementation for 4EVERLAND Hosting enabling instant deployment of AI-generated code to decentralized storage networks like Greenfield, IPFS, and Arweave.","https://github.com/4everland/4everland-hosting-mcp","4everland;hosting;cloud;mcp","Dev Tools","{'name': '4EVERLAND'}","Local Servers"
"ableton-live","Ableton Live","an MCP server to control Ableton Live.","https://github.com/Simon-Kansara/ableton-live-mcp-server","Ableton Live;OSC;Music","Media Creation","{'name': 'Simon Kansara'}","Local Servers"
"ableton-mcp","AbletonMCP","AbletonMCP connects Ableton Live to Claude AI through the Model Context Protocol (MCP), allowing Claude to directly interact with and control Ableton Live. This integration enables prompt-assisted music production, track creation, and Live session manipulation.","https://github.com/ahujasid/ableton-mcp","ableton;music production;AI;Claude;MCP;Model Context Protocol;MIDI;audio;music","Media Creation","{'name': 'ahujasid'}","Local Servers"
"actors-mcp-server","Apify Model Context Protocol (MCP) Server","Implementation of an MCP server for all [Apify Actors](https://apify.com/store).","https://github.com/apify/actors-mcp-server","mcp;model-context-protocol;apify;actors;ai-agents","Web Services","{'name': 'apify'}","Local Servers"
"agentkit","Chargebee Model Context Protocol (MCP) Server","MCP Server that connects AI agents to Chargebee platform.","https://github.com/chargebee/agentkit","MCP;Chargebee;AI;LLM","Dev Tools","{'name': 'chargebee'}","Local Servers"
"agentql-mcp","AgentQL MCP Server","This is a Model Context Protocol (MCP) server that integrates [AgentQL](https://agentql.com)'s data extraction capabilities.","https://github.com/tinyfish-io/agentql-mcp","data extraction;web scraping","Web Services","{'name': 'tinyfish-io'}","Local Servers"
"agentrpc","AgentRPC","> Universal RPC layer for AI agents across network boundaries and languages","https://github.com/agentrpc/agentrpc","RPC;AI agents;MCP;OpenAI;multi-language","Dev Tools","{'name': 'agentrpc'}","Local Servers"
"airbnb","Airbnb","Provides tools to search Airbnb and get listing details.","https://github.com/openbnb-org/mcp-server-airbnb","Airbnb;search;listings","Web Services","{'name': 'openbnb-org'}","Local Servers"
"airflow","Apache Airflow","A MCP Server that connects to [Apache Airflow](https://airflow.apache.org/) using official python client.","https://github.com/yangkyeongmo/mcp-server-apache-airflow","Apache Airflow;DAG;Workflow;Data Pipeline","Dev Tools","{'name': 'yangkyeongmo'}","Local Servers"
"airtable","Airtable","Airtable Model Context Protocol Server.","https://github.com/felores/airtable-mcp","Airtable;Database;API","Databases","{'name': 'felores'}","Local Servers"
"algorand","Algorand Implementation","A comprehensive MCP server for tooling interactions (40+) and resource accessibility (60+) plus many useful prompts for interacting with the Algorand blockchain.","https://github.com/GoPlausible/algorand-mcp","Algorand;Blockchain","Finance","{'name': 'GoPlausible', 'url': 'https://goplausible.com'}","Local Servers"
"alicloud-hologres","Hologres MCP Server","Hologres MCP Server serves as a universal interface between AI Agents and Hologres databases. It enables seamless communication between AI Agents and Hologres, helping AI Agents retrieve Hologres database metadata and execute SQL operations.","https://github.com/aliyun/alibabacloud-hologres-mcp-server","hologres;database;SQL","Databases","{'name': 'aliyun'}","Local Servers"
"alphavantage","Alphavantage","MCP server for stock market data API [AlphaVantage](https://www.alphavantage.co/)","https://github.com/calvernaz/alphavantage","alphavantage;stock market","Finance","{'name': 'calvernaz'}","Local Servers"
"amap","Amap / 高德地图","MCP Server for the AMap Map API.","https://www.npmjs.com/package/@amap/amap-maps-mcp-server","amap;map","Web Services","{'name': 'amap'}","Local Servers"
"anki","Anki","An MCP server for interacting with your [Anki](https://apps.ankiweb.net/) decks and cards.","https://github.com/scorzeth/anki-mcp-server","Anki;Cards;Review","Knowledge Base","{'name': 'scorzeth'}","Local Servers"
"any-chat-completions","Any Chat Completions","Interact with any OpenAI SDK Compatible Chat Completions API like OpenAI, Perplexity, Groq, xAI and many more.","https://github.com/pyroprompts/any-chat-completions-mcp","Claude;OpenAI;API;Chat Completion","AI Systems","{'name': 'pyroprompts'}","Local Servers"
"apimatic-validator-mcp","APIMatic Validator MCP Server","This repository provides a Model Context Protocol (MCP) Server for validating OpenAPI specifications using [APIMatic](https://www.apimatic.io/). The server processes OpenAPI files and returns validation summaries by leveraging APIMatic’s API.","https://github.com/apimatic/apimatic-validator-mcp","OpenAPI;validation;APIMatic","Dev Tools","{'name': 'apimatic'}","Local Servers"
"apple-mcp","Apple MCP Tools","This is a collection of apple-native tools for the [MCP protocol](https://modelcontextprotocol.com/docs/mcp-protocol).","https://github.com/Dhravya/apple-mcp","apple;mcp;messages;notes;contacts;emails;reminders;calendar;web search;maps","System Tools","{'name': 'Dhravya'}","Local Servers"
